언어명,관광지명,구분
일본어,伴鴎亭と黄喜先生遺跡地（반구정과 황희선생유적지）,역사관광지
일본어,紺岳山つり橋（감악산 출렁다리）,건축/조형물
일본어,新世界サイモン坡州プレミアムアウトレット（신세계사이먼 파주 프리미엄 아울렛 ）,쇼핑
일본어,板門店（판문점）,역사관광지
일본어,坡州出版都市（파주출판도시）,산업관광지
일본어,坡州 臨津閣（平和ヌリ公園）（파주 임진각（평화누리공원））,역사관광지
일본어,知恵の森（지혜의 숲）,문화시설
일본어,ヘイリ芸術村（헤이리 예술마을）,체험관광지
일본어,第3トンネル（제3땅굴）,역사관광지
일본어,世界民俗楽器博物館（세계민속악기박물관）,문화시설
일본어,都羅展望台（도라전망대）,건축/조형물
일본어,坡州臨津八景（파주임진팔경）,역사관광지
일본어,都羅山駅（도라산역）,역사관광지
일본어,坡州 李珥遺跡（파주이이유적）,역사관광지
일본어,ヘイリ コーヒー博物館（헤이리 커피박물관）,문화시설
일본어,自由の橋（坡州）（자유의 다리（파주））,역사관광지
일본어,キャンプグリーブス（캠프 그리브스）,역사관광지
일본어,坡州 長陵（仁祖、仁烈王后）［ユネスコ世界遺産（文化遺産）］（파주 장릉（인조_인열왕후）[유네스코 세계문화유산]）,역사관광지
일본어,烏頭山統一展望台（오두산 통일전망대）,건축/조형물
